Date,Price,Open,High,Low,Vol.,Change %
19-09-2024,"1,708.50","1,699.20","1,719.00","1,699.15",15.33M,0.81%
18-09-2024,"1,694.80","1,671.85","1,698.90","1,671.10",20.46M,1.56%
17-09-2024,"1,668.80","1,678.00","1,678.00","1,664.15",10.06M,-0.13%
16-09-2024,"1,670.95","1,667.00","1,677.80","1,664.05",7.59M,0.30%
13-09-2024,"1,665.95","1,674.00","1,674.00","1,657.05",11.93M,-0.04%
12-09-2024,"1,666.60","1,654.00","1,670.00","1,647.05",16.21M,1.38%
11-09-2024,"1,643.90","1,650.40","1,652.50","1,639.20",11.11M,-0.39%
10-09-2024,"1,650.35","1,654.00","1,654.00","1,638.00",13.30M,0.23%
09-09-2024,"1,646.50","1,638.00","1,648.50","1,630.10",11.90M,0.58%
06-09-2024,"1,636.95","1,638.30","1,647.75","1,634.10",13.01M,-0.52%
05-09-2024,"1,645.45","1,646.00","1,649.90","1,642.00",11.44M,0.22%
04-09-2024,"1,641.80","1,639.00","1,644.80","1,632.00",12.34M,0.27%
03-09-2024,"1,637.35","1,634.00","1,639.95","1,624.60",18.64M,0.64%
02-09-2024,"1,626.95","1,646.80","1,646.80","1,623.20",17.02M,-0.61%
30-08-2024,"1,636.90","1,656.00","1,662.00","1,621.15",222.67M,-0.10%
29-08-2024,"1,638.55","1,642.00","1,644.40","1,631.15",24.53M,0.09%
28-08-2024,"1,637.10","1,637.75","1,639.75","1,630.20",13.46M,-0.04%
27-08-2024,"1,637.75","1,643.40","1,647.40","1,632.20",17.89M,-0.13%
26-08-2024,"1,639.95","1,632.20","1,647.95","1,632.20",11.18M,0.92%
23-08-2024,"1,625.05","1,634.00","1,634.00","1,623.00",10.17M,-0.38%
22-08-2024,"1,631.30","1,632.00","1,638.30","1,628.00",10.65M,0.34%
21-08-2024,"1,625.80","1,628.10","1,634.55","1,617.80",23.82M,-0.73%
20-08-2024,"1,637.70","1,627.45","1,646.00","1,627.45",15.57M,0.38%
19-08-2024,"1,631.55","1,637.65","1,637.65","1,623.70",9.75M,-0.03%
16-08-2024,"1,632.10","1,628.50","1,634.15","1,611.00",13.92M,1.51%
14-08-2024,"1,607.80","1,606.50","1,613.70","1,603.20",16.17M,0.29%
13-08-2024,"1,603.20","1,628.00","1,632.40","1,601.15",27.03M,-3.43%
12-08-2024,"1,660.10","1,652.00","1,675.95","1,647.35",19.66M,0.60%
09-08-2024,"1,650.20","1,652.00","1,662.55","1,645.80",13.32M,0.46%
08-08-2024,"1,642.70","1,624.00","1,653.30","1,619.25",16.99M,1.18%
07-08-2024,"1,623.50","1,617.00","1,630.00","1,602.20",21.17M,1.39%
06-08-2024,"1,601.20","1,630.00","1,632.95","1,593.30",22.56M,-0.90%
05-08-2024,"1,615.75","1,640.10","1,646.00","1,601.00",20.67M,-2.62%
02-08-2024,"1,659.15","1,631.00","1,670.50","1,631.00",22.06M,1.24%
01-08-2024,"1,638.80","1,622.90","1,650.05","1,617.95",13.11M,1.43%
31-07-2024,"1,615.75","1,614.00","1,627.90","1,609.20",18.91M,0.01%
30-07-2024,"1,615.55","1,602.00","1,634.75","1,599.00",27.30M,0.65%
29-07-2024,"1,605.05","1,615.00","1,631.85","1,598.30",25.50M,-0.81%
26-07-2024,"1,618.15","1,605.00","1,621.75","1,596.45",21.91M,0.10%
25-07-2024,"1,616.60","1,593.00","1,625.00","1,593.00",12.77M,0.78%
24-07-2024,"1,604.05","1,608.15","1,621.00","1,588.05",30.86M,-0.89%
23-07-2024,"1,618.40","1,647.55","1,647.80","1,605.00",26.00M,-1.47%
22-07-2024,"1,642.55","1,617.00","1,651.00","1,612.65",26.87M,2.19%
19-07-2024,"1,607.30","1,616.00","1,623.00","1,603.50",13.00M,-0.46%
18-07-2024,"1,614.80","1,608.00","1,623.95","1,599.15",16.86M,-0.31%
16-07-2024,"1,619.75","1,620.75","1,627.00","1,616.80",14.48M,-0.14%
15-07-2024,"1,622.10","1,623.50","1,629.80","1,615.20",16.69M,-0.04%
12-07-2024,"1,622.70","1,622.00","1,638.40","1,611.15",28.02M,0.05%
11-07-2024,"1,621.90","1,623.95","1,625.85","1,601.00",22.09M,-0.26%
10-07-2024,"1,626.10","1,629.95","1,640.00","1,620.75",22.75M,-0.64%
09-07-2024,"1,636.50","1,625.00","1,646.70","1,620.35",24.28M,0.07%
08-07-2024,"1,635.35","1,645.30","1,654.95","1,627.15",19.54M,-0.77%
05-07-2024,"1,648.10","1,685.00","1,685.00","1,642.20",41.12M,-4.58%
04-07-2024,"1,727.15","1,759.75","1,759.75","1,724.85",22.92M,-2.35%
03-07-2024,"1,768.65","1,791.00","1,794.00","1,764.65",61.61M,2.20%
02-07-2024,"1,730.60","1,715.00","1,734.90","1,702.75",22.96M,1.49%
01-07-2024,"1,705.20","1,680.00","1,707.30","1,680.00",10.59M,1.27%
28-06-2024,"1,683.80","1,697.60","1,706.60","1,679.00",13.24M,-0.73%
27-06-2024,"1,696.15","1,696.10","1,713.00","1,686.60",27.54M,-0.31%
26-06-2024,"1,701.50","1,707.95","1,710.90","1,691.10",23.80M,-0.58%
25-06-2024,"1,711.35","1,671.10","1,716.95","1,671.10",37.26M,2.33%
24-06-2024,"1,672.40","1,647.00","1,675.10","1,645.75",14.27M,0.40%
21-06-2024,"1,665.75","1,672.85","1,672.85","1,643.15",25.82M,-0.22%
20-06-2024,"1,669.35","1,669.80","1,681.45","1,652.00",20.70M,0.69%
19-06-2024,"1,657.85","1,613.40","1,669.90","1,604.00",45.07M,3.11%
18-06-2024,"1,607.80","1,596.90","1,610.50","1,589.45",16.21M,0.68%
14-06-2024,"1,596.90","1,584.00","1,599.00","1,577.70",12.77M,1.02%
13-06-2024,"1,580.75","1,581.75","1,585.70","1,574.00",12.06M,0.42%
12-06-2024,"1,574.15","1,575.00","1,588.30","1,566.40",19.64M,0.60%
11-06-2024,"1,564.80","1,556.00","1,571.00","1,552.20",14.77M,0.22%
10-06-2024,"1,561.30","1,574.00","1,580.65","1,557.60",11.23M,-0.77%
07-06-2024,"1,573.35","1,561.05","1,584.35","1,552.05",18.36M,0.88%
