Trend,Start Date,End Date,Profit
DOWN,2012-09-20,2012-09-21,-403.58000000000175
UP,2012-09-21,2012-09-24,-79.4900000000016
DOWN,2012-09-24,2012-09-25,-21.06999999999971
UP,2012-09-25,2012-09-27,-114.90999999999985
DOWN,2012-09-27,2012-10-04,-478.65000000000146
UP,2012-10-04,2012-10-08,-349.1700000000019
DOWN,2012-10-08,2012-10-09,-84.38000000000102
UP,2012-10-09,2012-10-10,-162.26000000000204
DOWN,2012-10-10,2012-10-11,-173.65000000000146
UP,2012-10-11,2012-10-12,-129.5699999999997
DOWN,2012-10-12,2012-10-15,-38.36999999999898
UP,2012-10-15,2012-10-16,-135.84999999999854
DOWN,2012-10-16,2012-10-18,-214.22999999999956
UP,2012-10-18,2012-10-19,-109.61999999999898
DOWN,2012-10-19,2012-10-22,-111.12999999999738
UP,2012-10-22,2012-10-23,-83.41999999999825
DOWN,2012-10-23,2012-10-25,-48.61000000000058
UP,2012-10-25,2012-10-26,-133.29000000000087
DOWN,2012-10-26,2012-10-29,-10.479999999999563
UP,2012-10-29,2012-10-30,-204.97000000000116
DOWN,2012-10-30,2012-11-07,-471.5600000000013
UP,2012-11-07,2012-11-16,-593.0400000000009
DOWN,2012-11-16,2012-11-19,-29.63000000000102
UP,2012-11-19,2012-11-20,-9.680000000000291
DOWN,2012-11-20,2012-11-22,-188.02000000000044
UP,2012-11-22,2012-11-23,-10.770000000000437
DOWN,2012-11-23,2012-11-30,-833.3300000000017
UP,2012-11-30,2012-12-03,-34.580000000001746
DOWN,2012-12-03,2012-12-06,-181.47999999999956
UP,2012-12-06,2012-12-13,-257.5400000000009
DOWN,2012-12-13,2012-12-14,-87.9900000000016
UP,2012-12-14,2012-12-17,-72.83000000000175
DOWN,2012-12-17,2012-12-19,-231.58000000000175
UP,2012-12-19,2012-12-21,-234.0
DOWN,2012-12-21,2012-12-26,-175.45999999999913
UP,2012-12-26,2012-12-27,-93.65999999999985
DOWN,2012-12-27,2012-12-28,-121.04000000000087
UP,2012-12-28,2012-12-31,-18.13000000000102
DOWN,2012-12-31,2013-01-04,-357.3700000000026
UP,2013-01-04,2013-01-07,-92.66000000000349
DOWN,2013-01-07,2013-01-08,-51.10000000000218
UP,2013-01-08,2013-01-10,-78.97000000000116
DOWN,2013-01-10,2013-01-15,-323.27000000000044
UP,2013-01-15,2013-01-16,-169.1899999999987
DOWN,2013-01-16,2013-01-21,-284.1899999999987
UP,2013-01-21,2013-01-22,-120.25
DOWN,2013-01-22,2013-01-23,-45.04000000000087
UP,2013-01-23,2013-01-24,-102.83000000000175
DOWN,2013-01-24,2013-01-25,-179.75
UP,2013-01-25,2013-01-29,-112.62999999999738
DOWN,2013-01-29,2013-01-30,-14.099999999998545
UP,2013-01-30,2013-02-11,-544.4300000000003
DOWN,2013-02-11,2013-02-13,-147.51000000000204
UP,2013-02-13,2013-02-15,-139.9300000000003
DOWN,2013-02-15,2013-02-20,-174.59999999999854
UP,2013-02-20,2013-02-22,-325.7400000000016
DOWN,2013-02-22,2013-02-25,-14.680000000000291
UP,2013-02-25,2013-02-26,-316.5499999999993
DOWN,2013-02-26,2013-02-27,-137.27000000000044
UP,2013-02-27,2013-02-28,-290.869999999999
DOWN,2013-02-28,2013-03-01,-56.97999999999956
UP,2013-03-01,2013-03-04,-40.56000000000131
DOWN,2013-03-04,2013-03-08,-805.2700000000004
UP,2013-03-08,2013-03-13,-320.6800000000003
DOWN,2013-03-13,2013-03-14,-207.88999999999942
UP,2013-03-14,2013-03-25,-889.0200000000004
DOWN,2013-03-25,2013-04-02,-359.5300000000025
UP,2013-04-02,2013-04-09,-814.4700000000012
DOWN,2013-04-09,2013-04-11,-315.72000000000116
UP,2013-04-11,2013-04-12,-299.6399999999994
DOWN,2013-04-12,2013-04-16,-502.369999999999
UP,2013-04-16,2013-04-17,-13.770000000000437
DOWN,2013-04-17,2013-04-25,-675.6899999999987
UP,2013-04-25,2013-04-26,-120.12999999999738
DOWN,2013-04-26,2013-05-02,-449.0499999999993
