Date,Price,Open,High,Low,Vol.,Change %,RSI,Target
2024-08-30,1636.9,1656.0,1662.0,1621.15,222670000.0,-0.10%,45.47311095983663,0
2024-09-02,1626.95,1646.8,1646.8,1623.2,17020000.0,-0.61%,38.72065328342978,1
2024-09-03,1637.35,1634.0,1639.95,1624.6,18640000.0,0.64%,66.998506719761,1
2024-09-04,1641.8,1639.0,1644.8,1632.0,12340000.0,0.27%,66.94915254237284,1
2024-09-05,1645.45,1646.0,1649.9,1642.0,11440000.0,0.22%,58.38041431261775,0
2024-09-06,1636.95,1638.3,1647.75,1634.1,13010000.0,-0.52%,53.08219178082196,1
2024-09-09,1646.5,1638.0,1648.5,1630.1,11900000.0,0.58%,54.8351648351648,1
2024-09-10,1650.35,1654.0,1654.0,1638.0,13300000.0,0.23%,64.79807112718501,0
2024-09-11,1643.9,1650.4,1652.5,1639.2,11110000.0,-0.39%,57.50893921334932,1
2024-09-12,1666.6,1654.0,1670.0,1647.05,16210000.0,1.38%,70.70254110612859,0
2024-09-13,1665.95,1674.0,1674.0,1657.05,11930000.0,-0.04%,65.09872241579569,1
2024-09-16,1670.95,1667.0,1677.8,1664.05,7590000.0,0.30%,68.67266591676056,0
2024-09-17,1668.8,1678.0,1678.0,1664.15,10060000.0,-0.13%,67.5331858407081,1
2024-09-18,1694.8,1671.85,1698.9,1671.1,20460000.0,1.56%,74.46715963462388,1
2024-09-19,1708.5,1699.2,1719.0,1699.15,15330000.0,0.81%,78.18897637795283,1
2024-09-20,1741.2,1716.5,1744.95,1707.55,30310000.0,1.91%,88.14691151919878,1
2024-09-23,1759.8,1749.0,1766.35,1740.25,13480000.0,1.07%,88.76226654004444,1
2024-09-24,1768.05,1765.0,1781.65,1754.25,16520000.0,0.47%,89.02627511591973,1
2024-09-25,1779.1,1760.15,1788.0,1760.15,15980000.0,0.62%,89.50635530594157,1
2024-09-26,1783.45,1773.05,1788.0,1768.05,15950000.0,0.24%,94.39393939393952,0
2024-09-27,1752.65,1777.0,1778.2,1750.0,17810000.0,-1.73%,78.4966442953021,0
2024-09-30,1732.05,1748.8,1751.45,1724.4,13190000.0,-1.18%,70.12315270935963,0
2024-10-01,1726.2,1724.0,1742.0,1720.1,12290000.0,-0.34%,70.33102766798419,0
2024-10-03,1682.0,1715.65,1726.15,1673.35,24240000.0,-2.56%,53.43903528360878,0
2024-10-04,1657.65,1674.5,1690.65,1653.0,24340000.0,-1.45%,48.32390953150244,0
2024-10-07,1617.8,1652.2,1659.0,1613.0,47230000.0,-2.40%,40.59125508939635,1
2024-10-08,1651.05,1630.0,1656.8,1622.0,14870000.0,2.06%,47.169510444905114,0
2024-10-09,1633.15,1649.5,1656.75,1628.7,20560000.0,-1.08%,39.90833196922576,1
2024-10-10,1662.4,1639.0,1665.45,1632.5,10880000.0,1.79%,42.81931464174457,0
2024-10-11,1651.0,1664.45,1664.45,1643.25,11840000.0,-0.69%,34.95161828495161,1
2024-10-14,1688.1,1656.05,1692.05,1654.0,9260000.0,2.25%,38.73350094280326,0
2024-10-15,1684.1,1694.0,1698.0,1675.5,9830000.0,-0.24%,36.63003663003663,1
2024-10-16,1699.8,1680.1,1707.95,1680.1,10240000.0,0.93%,37.554927809165115,0
2024-10-17,1673.15,1694.95,1697.65,1665.2,7350000.0,-1.57%,33.82223525960693,1
2024-10-18,1681.85,1663.1,1691.0,1654.1,12400000.0,0.52%,38.8958594730238,1
2024-10-21,1728.7,1715.0,1748.15,1711.05,23270000.0,2.79%,49.51456310679613,0
2024-10-22,1714.55,1730.05,1740.0,1710.7,19440000.0,-0.82%,48.35149285411064,1
2024-10-23,1735.8,1705.05,1746.5,1705.05,19020000.0,1.24%,58.14164648910411,1
2024-10-24,1749.65,1738.1,1768.65,1738.1,15420000.0,0.80%,64.3794935917474,0
2024-10-25,1743.4,1755.0,1757.85,1728.7,13070000.0,-0.36%,71.93503318197698,0
2024-10-28,1734.2,1742.0,1751.0,1728.9,11010000.0,-0.53%,65.85319351763587,1
2024-10-29,1751.85,1726.15,1764.0,1725.1,17900000.0,1.02%,72.65267175572515,0
2024-10-30,1734.6,1742.0,1754.75,1724.2,16360000.0,-0.98%,64.43999999999997,1
2024-10-31,1735.7,1728.0,1738.9,1719.4,11450000.0,0.06%,67.66791823112224,1
