Date,Price,Open,High,Low,Vol.,Change(%)
01-Oct-24,750.15,731.1,757.9,724.75,9072279,2.73%
30-Sep-24,730.25,709.75,733.05,705.7,11688363,3.33%
27-Sep-24,706.7,720.95,729.8,704,10943231,-1.40%
26-Sep-24,716.7,763,763.4,711,11069317,-5.47%
25-Sep-24,758.2,775.7,785.1,754.05,7681483,-1.79%
24-Sep-24,772,772,779,755.45,11461515,0.44%
23-Sep-24,768.65,733.4,786.25,733,24917201,5.22%
20-Sep-24,730.5,709.9,734,702.1,6892361,3.14%
19-Sep-24,708.25,699.4,711.15,684.35,5859129,1.56%
18-Sep-24,697.4,716,719,692.2,5517474,-2.17%
17-Sep-24,712.85,703.1,719,694.75,8598067,1.84%
16-Sep-24,699.95,723.2,725.6,675.9,15769280,-2.25%
13-Sep-24,716.05,697.9,749,694.05,32170819,3.88%
12-Sep-24,689.3,664.25,694.7,660.55,11117000,4.95%
11-Sep-24,656.8,643,669.5,636.5,7816468,2.59%
10-Sep-24,640.2,645.75,652,637,2475182,-0.37%
09-Sep-24,642.6,649,654.5,637.75,3672960,-0.86%
06-Sep-24,648.2,649,655,633,4108813,0.04%
05-Sep-24,647.95,655,662.75,642,5581923,-0.96%
04-Sep-24,654.2,646,658.75,630.25,7164996,0.51%
03-Sep-24,650.85,639.05,654,631.05,7622641,1.72%
02-Sep-24,639.85,617.45,645,616,11013380,4.01%
30-Aug-24,615.2,612.9,624.5,609,4242992,0.75%
29-Aug-24,610.6,610,619.8,606.6,3453436,-0.10%
28-Aug-24,611.2,613.9,616,599,3634480,-0.59%
27-Aug-24,614.85,619,624,605.2,4312858,-0.31%
26-Aug-24,616.75,589,624.95,580.4,14952921,4.73%
23-Aug-24,588.9,605,618.7,582.25,13074002,-1.26%
22-Aug-24,596.4,572,605,571.65,37054765,9.54%
21-Aug-24,544.45,543,557,532.45,19835421,0.47%
20-Aug-24,541.9,555,558,530.65,3850252,-1.39%
19-Aug-24,549.55,577.95,584,543.4,4745870,-4.08%
16-Aug-24,572.95,570.5,578,562,1100664,0.77%
14-Aug-24,568.6,563.25,570.1,550,981048,1.87%
13-Aug-24,558.15,556.8,572,546.25,1572865,1.14%
12-Aug-24,551.85,534,555.8,528.7,1301803,2.42%
09-Aug-24,538.8,537,541,530.05,1224809,0.42%
